frame_num,track_id,x1,y1,x2,y2,class_id,confidence
15,1,223.0,478.0,1016.0,981.0,0,0.6062400937080383
16,1,160.0,409.0,1007.0,912.0,0,0.4053751528263092
17,1,211.0,341.0,1019.0,830.0,0,0.6122720837593079
18,1,192.0,272.0,1028.0,785.0,0,0.7160115242004395
19,1,181.0,218.0,1016.0,715.0,0,0.5659219026565552
20,1,176.0,192.0,1011.0,675.0,0,0.5597348809242249
21,1,180.0,183.0,1020.0,654.0,0,0.5787526965141296
22,1,182.0,190.0,1030.0,658.0,0,0.6232416033744812
23,1,181.0,198.0,1031.0,661.0,0,0.6020663976669312
24,1,176.0,210.0,1024.0,674.0,0,0.6058589816093445
25,1,176.0,221.0,1028.0,689.0,0,0.63399738073349
26,1,169.0,239.0,1020.0,718.0,0,0.569770097732544
27,1,182.0,253.0,1029.0,730.0,0,0.5706458687782288
28,1,170.0,270.0,1018.0,741.0,0,0.5744307041168213
29,1,165.0,290.0,1024.0,768.0,0,0.5940014719963074
30,1,152.0,302.0,1009.0,772.0,0,0.6403636932373047
31,1,146.0,313.0,1004.0,776.0,0,0.685324490070343
59,2,975.0,284.0,1081.0,507.0,0,0.3753200173377991
60,2,977.0,281.0,1085.0,505.0,0,0.39350518584251404
61,2,978.0,282.0,1083.0,503.0,0,0.3346569836139679
62,2,985.0,284.0,1097.0,510.0,0,0.40923136472702026
63,2,983.75,283.25,1099.5,509.75,0,0
64,2,982.5,282.5,1102.0,509.5,0,0
65,2,981.25,281.75,1104.5,509.25,0,0
66,2,980.0,281.0,1107.0,509.0,0,0.27405160665512085
67,2,976.0,286.0,1101.0,512.0,0,0.33791816234588623
68,2,975.5,286.5,1097.75,510.5,0,0
69,2,975.0,287.0,1094.5,509.0,0,0
70,2,974.5,287.5,1091.25,507.5,0,0
71,2,974.0,288.0,1088.0,506.0,0,0.3662353754043579
72,2,981.0,286.0,1098.0,506.0,0,0.3316044211387634
73,2,982.0,282.0,1098.0,495.0,0,0.4503723382949829
74,2,976.0,297.0,1089.0,506.0,0,0.3672800064086914
75,2,980.0,308.0,1092.0,502.0,0,0.25735676288604736
85,3,843.0,443.0,1082.0,696.0,0,0.3889049291610718
86,3,843.0,439.0,1073.0,698.0,0,0.2705953121185303
90,4,914.0,601.0,1019.0,756.0,0,0.2972423732280731
93,5,289.0,442.0,697.0,714.0,0,0.4641730487346649
94,5,287.0,440.0,700.0,718.0,0,0.43652915954589844
95,5,289.0,443.0,698.0,718.0,0,0.36243438720703125
96,5,298.0,451.0,699.0,722.0,0,0.3583429455757141
121,8,-31.0,326.0,1946.0,1059.0,0,0.25507158041000366
200,11,548.0,153.0,1711.0,803.0,0,0.527484118938446
201,11,546.0,146.0,1709.0,802.0,0,0.5475103855133057
202,11,548.0,134.0,1712.0,795.0,0,0.5328450798988342
203,11,549.0,130.0,1712.0,794.0,0,0.5393938422203064
204,11,551.0,132.0,1711.0,790.0,0,0.37682363390922546
205,11,556.0,140.0,1714.0,792.0,0,0.3834874927997589
206,11,553.0,138.0,1708.0,784.0,0,0.26388034224510193
207,11,552.0,138.0,1706.0,781.0,0,0.2819822430610657
218,13,176.0,92.0,1813.0,676.0,0,0.38717973232269287
219,13,193.0,89.0,1823.0,683.0,0,0.4112541377544403
220,13,215.0,95.0,1818.0,688.0,0,0.577444851398468
221,13,168.0,90.0,1788.0,680.0,0,0.5700749158859253
240,14,584.0,221.0,1238.0,1023.0,0,0.7199448347091675
241,14,584.0,227.0,1238.0,1029.0,0,0.7153548002243042
242,14,585.0,228.0,1239.0,1031.0,0,0.6631942987442017
243,14,587.0,228.0,1240.0,1031.0,0,0.616500735282898
244,14,587.75,232.75,1241.75,1034.5,0,0
245,14,588.5,237.5,1243.5,1038.0,0,0
246,14,589.25,242.25,1245.25,1041.5,0,0
247,14,590.0,247.0,1247.0,1045.0,0,0.4535212218761444
283,15,566.0,48.0,1469.0,740.0,0,0.4024253189563751
284,15,594.0,15.0,1672.0,599.0,0,0.2769205570220947
322,18,374.0,143.0,1237.0,782.0,0,0.2637251019477844
353,19,1123.0,470.0,1249.0,715.0,0,0.4935995638370514
